section_number,section_title,description,example_use_cases,punishment
481,"Using a false property mark","This section punishes using a false property mark with the intention of causing it to be believed that the goods belong to a person to whom they do not belong.","Putting another company's logo on your own products to pass them off as theirs.","Imprisonment up to 1 year, or fine, or both"
482,"Punishment for using a false property mark","This section provides the punishment for the offence described in S.481.","A person is convicted of falsely branding cattle.","Imprisonment up to 1 year, or fine, or both"
483,"Counterfeiting a property mark used by another","This section punishes counterfeiting any property mark used by another person.","Creating a fake die to stamp a counterfeit brand on goods.","Imprisonment up to 2 years, or fine, or both"
484,"Counterfeiting a mark used by a public servant","This section punishes counterfeiting any property mark or mark used by a public servant to denote that property meets a certain standard or has been inspected.","Counterfeiting an Agmark or ISI mark on food products.","Imprisonment up to 3 years, and fine"
485,"Making or possession of any instrument for counterfeiting a property mark","This section punishes making or possessing any die, plate, or other instrument for the purpose of counterfeiting a property mark.","Possessing a machine designed to print fake brand labels.","Imprisonment up to 3 years, or fine, or both"
486,"Selling goods marked with a counterfeit property mark","This section punishes selling, or exposing for sale, any goods with a counterfeit property mark, knowing that the mark is counterfeit.","Selling products bearing a fake brand name.","Imprisonment up to 1 year, or fine, or both"
487,"Making a false mark upon any receptacle containing goods","This section punishes making a false mark upon any case, package, or other receptacle containing goods, with intent to cause it to be believed that the contents are better or different than they are.","Marking a box of cheap goods with the label of an expensive brand.","Imprisonment up to 3 years, or fine, or both"
488,"Punishment for making use of any such false mark","This section provides the punishment for the offence described in S.487.","A person is convicted of mislabeling packages.","Imprisonment up to 3 years, or fine, or both"
489,"Tampering with property mark with intent to cause injury","This section punishes removing, destroying, or defacing a property mark with the intention of causing injury to any person.","Scraping off the serial number from a mobile phone.","Imprisonment up to 1 year, or fine, or both"
489A,"Counterfeiting currency-notes or bank-notes","This section punishes counterfeiting, or performing any part of the process of counterfeiting, any currency-note or bank-note.","Operating a press to print fake Indian rupee notes.","Imprisonment for life, or imprisonment up to 10 years, and fine"
489B,"Using as genuine, forged or counterfeit currency-notes or bank-notes","This section punishes selling to, buying from, or using as genuine, any forged or counterfeit currency-note, knowing it to be forged or counterfeit.","Knowingly using a fake Rs. 2000 note to make a purchase.","Imprisonment for life, or imprisonment up to 10 years, and fine"
489C,"Possession of forged or counterfeit currency-notes or bank-notes","This section punishes possessing any forged or counterfeit currency-note, knowing it to be forged or counterfeit, with the intention of using it as genuine.","Carrying a bundle of fake notes, intending to pass them off later.","Imprisonment up to 7 years, or fine, or both"
